Layer,TB point,Hits
Y,328,{'LEF-6-3', 'LEF-6-4'}
Y,329,{'LEF-6-3', 'LEF-6-2'}
Y,330,{'LEF-6-2', 'LEF-6-1'}
Y,331,{'LEF-8-1', 'LEF-6-1'}
Y,332,{'LEF-8-1', 'LEF-8-2'}
Y,333,{'LEF-8-3', 'LEF-8-2'}
Y,334,{'LEF-8-3', 'LEF-8-4'}
Y,335,{'LEF-8-5', 'LEF-8-4'}
Y,336,{'LEF-8-5', 'LEF-8-6'}
Y,337,{'LEF-8-7', 'LEF-8-6'}
Y,338,{'LEF-8-7', 'LEF-8-8'}
Y,339,{'LEF-8-8', 'LEF-8-9'}
Y,340,{'LEF-8-7', 'LEF-8-6'}
Y,341,{'LEF-8-7', 'LEF-8-6'}
Y,342,{'LEF-8-5', 'LEF-8-6'}
Y,343,{'LEF-8-5', 'LEF-8-4'}
Y,344,{'LEF-8-3', 'LEF-8-4'}
Y,345,{'LEF-8-3', 'LEF-8-2'}
Y,346,{'LEF-8-1', 'LEF-8-2'}
Y,347,{'LEF-8-1', 'LEF-6-1'}
Y,348,{'LEF-6-2', 'LEF-6-1'}
Y,349,{'LEF-6-3', 'LEF-6-2'}
Y,350,{'LEF-6-3', 'LEF-6-4'}
Y,351,{'LEF-6-5', 'LEF-6-4'}
Y,352,{'LEF-6-5', 'LEF-6-6'}
Y,353,{'LEF-6-6', 'LEF-6-7'}
Y,354,{'LEF-6-6', 'LEF-6-7'}
Y,355,{'LEF-6-6', 'LEF-6-7'}
Y,356,{'LEF-6-5', 'LEF-6-6'}
Y,357,{'LEF-6-5', 'LEF-6-4'}
Y,358,{'LEF-6-3', 'LEF-6-4'}
Y,359,{'LEF-6-3', 'LEF-6-2'}
Y,360,{'LEF-6-2', 'LEF-6-1'}
Y,361,{'LEF-8-1', 'LEF-6-1'}
Y,362,{'LEF-8-1', 'LEF-8-2'}
Y,363,{'LEF-8-3', 'LEF-8-2'}
Y,364,{'LEF-8-3', 'LEF-8-4'}
Y,365,{'LEF-8-5', 'LEF-8-4'}
Y,366,{'LEF-8-5', 'LEF-8-6'}
Y,367,{'LEF-8-7', 'LEF-8-6'}
Y,368,{'LEF-8-5', 'LEF-8-4'}
